iter	Passed	Remaining
406	5665	15215
407	5680	15203
408	5694	15190
409	5712	15186
410	5728	15179
411	5748	15180
412	5766	15177
413	5785	15177
414	5804	15174
415	5824	15176
416	5853	15202
417	5879	15220
418	5918	15268
419	5942	15281
420	5969	15299
421	5993	15311
422	6011	15304
423	6029	15301
424	6047	15295
425	6063	15287
426	6080	15279
427	6097	15273
428	6113	15262
429	6130	15255
430	6147	15246
431	6162	15235
432	6178	15225
433	6193	15212
434	6213	15212
435	6233	15213
436	6258	15223
437	6280	15228
438	6307	15245
439	6326	15241
440	6348	15244
441	6375	15259
442	6398	15267
443	6421	15272
444	6440	15268
445	6463	15274
446	6480	15266
447	6502	15268
448	6520	15262
449	6536	15252
450	6552	15240
451	6568	15228
452	6585	15220
453	6600	15206
454	6616	15196
455	6633	15187
456	6648	15174
457	6664	15163
458	6684	15160
459	6705	15159
460	6723	15152
461	6740	15144
462	6762	15145
463	6791	15163
464	6889	15334
465	6929	15376
466	6952	15379
467	6972	15375
468	6991	15370
469	7012	15368
470	7034	15367
471	7052	15360
472	7072	15356
473	7091	15349
474	7109	15340
475	7128	15334
476	7148	15330
477	7170	15330
478	7187	15319
479	7204	15310
480	7221	15298
481	7237	15284
482	7253	15272
483	7271	15263
484	7289	15255
485	7307	15247
486	7326	15239
487	7344	15231
488	7364	15226
489	7384	15221
490	7404	15216
491	7423	15209
492	7443	15203
493	7459	15190
494	7476	15179
495	7493	15169
496	7510	15157
497	7528	15148
498	7546	15138
499	7564	15129
500	7580	15115
501	7597	15104
502	7617	15098
503	7636	15091
504	7654	15081
505	7672	15072
506	7691	15065
507	7709	15055
508	7730	15051
509	7745	15035
510	7761	15020
511	7775	15004
512	7792	14992
513	7807	14977
514	7824	14965
515	7839	14950
516	7857	14939
517	7873	14927
518	7890	14914
519	7905	14899
520	7923	14889
521	7941	14878
522	7957	14864
523	7973	14851
524	7988	14836
525	8003	14820
526	8020	14808
527	8036	14794
528	8052	14781
529	8068	14767
530	8084	14753
531	8100	14739
532	8118	14728
533	8133	14713
534	8150	14701
535	8165	14686
536	8184	14677
537	8201	14665
538	8218	14652
539	8233	14636
540	8249	14622
541	8264	14607
542	8279	14591
543	8295	14578
544	8312	14565
545	8329	14554
546	8345	14539
547	8357	14518
548	8371	14501
549	8387	14487
550	8402	14471
551	8418	14457
552	8431	14438
553	8447	14424
554	8463	14410
555	8478	14395
556	8494	14380
557	8509	14366
558	8527	14354
559	8544	14343
560	8560	14328
561	8576	14314
562	8592	14300
563	8607	14284
564	8620	14266
565	8637	14254
566	8656	14243
567	8672	14229
568	8688	14215
569	8703	14200
570	8717	14183
571	8732	14168
572	8749	14154
573	8765	14140
574	8781	14126
575	8794	14108
576	8810	14094
577	8824	14076
578	8841	14063
579	8860	14053
580	8876	14040
581	8892	14026
582	8905	14007
583	8917	13986
584	8934	13975
585	8952	13963
586	8970	13952
587	8990	13944
588	9009	13934
589	9026	13922
590	9046	13913
591	9067	13908
592	9086	13898
593	9107	13891
594	9123	13876
595	9139	13862
596	9155	13848
597	9170	13832
598	9186	13818
599	9203	13804
600	9221	13793
601	9238	13780
602	9253	13765
603	9271	13753
604	9288	13740
605	9304	13725
606	9320	13711
607	9336	13697
608	9352	13682
609	9368	13668
610	9384	13653
611	9400	13640
612	9416	13625
613	9433	13612
614	9457	13609
615	9473	13595
616	9492	13585
617	9508	13569
618	9524	13556
619	9541	13543
620	9556	13527
621	9571	13511
622	9584	13492
623	9599	13476
624	9615	13461
625	9630	13446
626	9645	13429
627	9660	13413
628	9675	13397
629	9692	13384
630	9707	13369
631	9724	13356
632	9740	13341
633	9755	13325
634	9772	13312
635	9787	13296
636	9798	13275
637	9813	13258
638	9827	13241
639	9843	13227
640	9859	13212
641	9875	13198
642	9890	13182
643	9908	13170
644	9922	13153
645	9939	13139
646	9953	13122
647	9969	13108
648	9984	13091
649	9999	13075
650	10016	13063
651	10032	13048
652	10046	13031
653	10061	13015
654	10076	12999
655	10093	12985
656	10109	12971
657	10124	12956
658	10139	12939
659	10155	12924
660	10172	12911
661	10188	12897
662	10204	12882
663	10221	12869
664	10238	12855
665	10254	12841
666	10268	12824
667	10283	12808
668	10301	12795
669	10314	12777
670	10330	12762
671	10345	12747
672	10362	12733
673	10378	12719
674	10392	12702
675	10409	12688
676	10425	12673
677	10443	12661
678	10458	12645
679	10474	12631
680	10490	12615
681	10506	12601
682	10521	12585
683	10537	12570
684	10551	12553
685	10567	12539
686	10582	12523
687	10599	12509
688	10611	12490
689	10626	12475
690	10642	12459
691	10658	12445
692	10672	12428
693	10686	12411
694	10701	12395
695	10716	12379
696	10732	12364
697	10747	12349
698	10764	12335
699	10779	12318
700	10792	12300
701	10808	12286
702	10825	12273
703	10840	12256
704	10856	12242
705	10872	12227
706	10887	12211
707	10903	12196
708	10917	12180
709	10932	12164
710	10948	12149
711	10963	12133
712	10977	12116
713	10992	12101
714	11007	12084
715	11022	12069
716	11037	12053
717	11052	12038
718	11068	12023
719	11085	12008
720	11100	11993
721	11115	11977
722	11128	11959
723	11143	11943
724	11159	11929
725	11175	11914
726	11189	11898
727	11204	11881
728	11221	11867
729	11235	11850
730	11250	11835
731	11268	11822
732	11283	11806
733	11299	11791
734	11315	11776
735	11329	11760
736	11344	11744
737	11361	11730
738	11378	11717
739	11394	11702
740	11409	11686
741	11422	11668
742	11438	11653
743	11453	11638
744	11470	11624
745	11487	11610
746	11505	11598
747	11520	11582
748	11535	11566
749	11550	11550
750	11565	11535
751	11582	11521
752	11599	11506
753	11614	11491
754	11632	11478
755	11647	11462
756	11662	11446
757	11678	11432
758	11693	11415
759	11706	11398
760	11720	11381
761	11732	11363
762	11747	11347
763	11762	11331
764	11778	11317
765	11794	11301
766	11811	11288
767	11828	11274
768	11843	11257
769	11859	11243
770	11875	11229
771	11891	11213
772	11905	11197
773	11922	11182
774	11936	11166
775	11952	11151
776	11968	11137
777	11982	11120
778	11998	11105
779	12014	11090
780	12029	11074
781	12042	11056
782	12058	11042
783	12072	11025
784	12088	11010
785	12104	10995
786	12119	10979
787	12134	10964
788	12150	10949
789	12166	10934
790	12181	10918
791	12195	10902
792	12210	10886
793	12226	10871
794	12239	10853
795	12255	10838
796	12271	10824
797	12288	10809
798	12301	10793
799	12318	10778
800	12334	10763
801	12348	10747
802	12362	10731
803	12378	10715
804	12394	10700
805	12408	10683
806	12423	10668
807	12437	10651
808	12453	10637
809	12470	10622
810	12485	10606
811	12501	10592
812	12518	10578
813	12533	10562
814	12547	10546
815	12565	10532
816	12580	10517
817	12595	10501
818	12613	10488
819	12627	10471
820	12642	10455
821	12658	10440
822	12675	10427
823	12692	10413
824	12708	10397
825	12723	10382
826	12739	10367
827	12755	10352
828	12768	10335
829	12784	10319
830	12797	10302
831	12812	10286
832	12827	10270
833	12844	10257
834	12860	10242
835	12876	10226
836	12892	10212
837	12908	10197
838	12923	10181
839	12937	10165
840	12950	10148
841	12965	10132
842	12981	10117
843	12998	10102
844	13013	10087
845	13029	10072
846	13044	10056
847	13061	10042
848	13078	10028
849	13093	10012
850	13108	9996
851	13125	9982
852	13141	9967
853	13158	9953
854	13174	9938
855	13188	9922
856	13203	9906
857	13217	9889
858	13233	9874
859	13248	9859
860	13264	9844
861	13279	9828
862	13296	9814
863	13312	9799
864	13328	9784
865	13344	9769
866	13360	9754
867	13376	9739
868	13391	9723
869	13405	9707
870	13422	9693
871	13438	9678
872	13455	9663
873	13471	9649
874	13488	9634
875	13505	9620
876	13522	9606
877	13537	9590
878	13554	9576
879	13571	9561
880	13589	9547
881	13603	9531
882	13620	9517
883	13637	9502
884	13651	9486
885	13667	9471
886	13684	9457
887	13700	9442
888	13716	9427
889	13733	9412
890	13747	9396
891	13763	9381
892	13778	9365
893	13793	9350
894	13810	9335
895	13826	9320
896	13841	9304
897	13859	9291
898	13877	9277
899	13891	9261
900	13909	9247
901	13927	9233
902	13942	9218
903	13960	9203
904	13976	9188
905	13992	9173
906	14009	9159
907	14026	9144
908	14042	9129
909	14057	9114
910	14075	9100
911	14092	9085
912	14107	9070
913	14123	9055
914	14138	9039
915	14156	9025
916	14173	9010
917	14191	8996
918	14208	8982
919	14224	8967
920	14241	8952
921	14258	8938
922	14275	8923
923	14290	8908
924	14305	8892
925	14323	8878
926	14341	8864
927	14358	8850
928	14376	8836
929	14393	8821
930	14411	8808
931	14425	8791
932	14440	8775
933	14457	8761
934	14474	8746
935	14492	8732
936	14508	8717
937	14520	8700
938	14538	8685
939	14554	8670
940	14571	8655
941	14587	8640
942	14604	8626
943	14618	8609
944	14636	8595
945	14650	8579
946	14667	8565
947	14684	8550
948	14701	8535
949	14717	8520
950	14734	8506
951	14749	8490
952	14765	8475
953	14781	8459
954	14799	8445
955	14816	8431
956	14834	8416
957	14849	8401
958	14864	8385
959	14880	8370
960	14896	8355
961	14911	8339
962	14927	8324
963	14941	8307
964	14958	8293
965	14974	8277
966	14987	8261
967	15005	8246
968	15019	8230
969	15036	8215
970	15053	8201
971	15066	8184
972	15080	8167
973	15096	8152
974	15112	8137
975	15129	8122
976	15147	8108
977	15163	8093
978	15179	8078
979	15197	8063
980	15212	8048
981	15229	8033
982	15245	8018
983	15262	8003
984	15278	7988
985	15297	7974
986	15316	7960
987	15331	7945
988	15348	7930
989	15364	7914
990	15379	7899
991	15393	7883
992	15410	7868
993	15426	7853
994	15442	7837
995	15458	7822
996	15473	7806
997	15489	7791
998	15504	7775
999	15522	7761
1000	15539	7746
1001	15553	7729
1002	15568	7714
1003	15586	7699
1004	15602	7684
1005	15619	7669
1006	15635	7654
1007	15652	7640
1008	15670	7625
1009	15687	7610
1010	15704	7595
1011	15721	7581
1012	15737	7565
1013	15754	7550
1014	15773	7537
1015	15789	7521
1016	15805	7506
1017	15819	7490
1018	15834	7474
1019	15851	7459
1020	15866	7443
1021	15882	7428
1022	15900	7413
1023	15915	7398
1024	15932	7383
1025	15949	7368
1026	15962	7351
1027	15978	7336
1028	15994	7321
1029	16011	7306
1030	16027	7290
1031	16043	7275
1032	16057	7259
1033	16071	7242
1034	16088	7228
1035	16105	7213
1036	16119	7197
1037	16137	7182
1038	16152	7166
1039	16168	7151
1040	16185	7136
1041	16202	7121
1042	16216	7105
1043	16229	7088
1044	16245	7073
1045	16258	7056
1046	16274	7041
1047	16291	7026
1048	16307	7010
1049	16321	6994
1050	16335	6978
1051	16350	6962
1052	16369	6948
1053	16387	6934
1054	16402	6918
1055	16418	6903
1056	16433	6887
1057	16448	6871
1058	16465	6856
1059	16478	6840
1060	16494	6824
1061	16510	6809
1062	16522	6792
1063	16536	6776
1064	16552	6761
1065	16567	6745
1066	16585	6730
1067	16600	6714
1068	16616	6699
1069	16632	6684
1070	16647	6668
1071	16662	6652
1072	16679	6637
1073	16695	6622
1074	16711	6606
1075	16728	6592
1076	16742	6575
1077	16757	6560
1078	16775	6545
1079	16791	6530
1080	16809	6515
1081	16824	6499
1082	16840	6484
1083	16853	6467
1084	16867	6451
1085	16883	6436
1086	16901	6421
1087	16918	6406
1088	16932	6390
1089	16947	6374
1090	16961	6358
1091	16977	6343
1092	16994	6328
1093	17010	6312
1094	17026	6297
1095	17043	6282
1096	17058	6266
1097	17074	6251
1098	17089	6235
1099	17106	6220
1100	17122	6205
1101	17137	6189
1102	17152	6173
1103	17167	6158
1104	17183	6142
1105	17198	6126
1106	17215	6111
1107	17228	6095
1108	17241	6078
1109	17257	6063
1110	17273	6048
1111	17287	6031
1112	17305	6017
1113	17318	6000
1114	17334	5985
1115	17348	5969
1116	17363	5953
1117	17379	5938
1118	17396	5923
1119	17412	5907
1120	17428	5892
1121	17443	5876
1122	17459	5861
1123	17475	5846
1124	17491	5830
1125	17509	5815
1126	17524	5800
1127	17539	5784
1128	17552	5768
1129	17569	5753
1130	17585	5737
1131	17599	5721
1132	17615	5706
1133	17632	5690
1134	17647	5675
1135	17664	5660
1136	17679	5644
1137	17693	5628
1138	17710	5613
1139	17727	5598
1140	17744	5582
1141	17761	5567
1142	17777	5552
1143	17792	5536
1144	17807	5521
1145	17822	5505
1146	17836	5489
1147	17850	5473
1148	17866	5458
1149	17883	5442
1150	17897	5426
1151	17911	5410
1152	17926	5394
1153	17942	5379
1154	17957	5364
1155	17974	5348
1156	17991	5333
1157	18007	5318
1158	18022	5302
1159	18037	5286
1160	18051	5270
1161	18068	5255
1162	18083	5239
1163	18099	5224
1164	18114	5208
1165	18128	5192
1166	18141	5176
1167	18157	5161
1168	18172	5145
1169	18187	5129
1170	18203	5114
1171	18220	5099
1172	18233	5082
1173	18248	5067
1174	18263	5051
1175	18278	5035
1176	18292	5020
1177	18309	5004
1178	18325	4989
1179	18338	4973
1180	18354	4957
1181	18371	4942
1182	18386	4926
1183	18403	4911
1184	18419	4896
1185	18433	4880
1186	18448	4864
1187	18461	4848
1188	18474	4832
1189	18491	4817
1190	18507	4801
1191	18524	4786
1192	18539	4770
1193	18555	4755
1194	18570	4739
1195	18585	4724
1196	18602	4708
1197	18618	4693
1198	18638	4679
1199	18657	4664
1200	18673	4649
1201	18691	4634
1202	18708	4618
1203	18725	4603
1204	18742	4588
1205	18760	4573
1206	18776	4557
1207	18791	4542
1208	18807	4526
1209	18823	4511
1210	18840	4496
1211	18857	4481
1212	18874	4465
1213	18891	4450
1214	18908	4435
1215	18928	4420
1216	18946	4405
1217	18963	4390
1218	18978	4374
1219	18994	4359
1220	19011	4344
1221	19026	4328
1222	19040	4312
1223	19056	4297
1224	19072	4281
1225	19086	4265
1226	19102	4250
1227	19117	4234
1228	19134	4219
1229	19150	4203
1230	19166	4188
1231	19181	4172
1232	19195	4156
1233	19208	4140
1234	19224	4125
1235	19238	4109
1236	19253	4093
1237	19268	4077
1238	19283	4062
1239	19300	4046
1240	19314	4031
1241	19331	4015
1242	19348	4000
1243	19364	3984
1244	19378	3969
1245	19392	3953
1246	19409	3937
1247	19424	3922
1248	19439	3906
1249	19456	3891
1250	19471	3875
1251	19487	3860
1252	19501	3844
1253	19516	3828
1254	19529	3812
1255	19547	3797
1256	19563	3781
1257	19579	3766
1258	19594	3750
1259	19612	3735
1260	19627	3720
1261	19645	3704
1262	19662	3689
1263	19677	3673
1264	19691	3658
1265	19706	3642
1266	19722	3626
1267	19739	3611
1268	19755	3596
1269	19772	3580
1270	19787	3565
1271	19803	3549
1272	19820	3534
1273	19836	3518
1274	19853	3503
1275	19871	3488
1276	19887	3472
1277	19905	3457
1278	19922	3442
1279	19937	3426
1280	19953	3411
1281	19967	3395
1282	19983	3379
1283	20001	3364
1284	20019	3349
1285	20034	3333
1286	20050	3318
1287	20067	3303
1288	20080	3287
1289	20096	3271
1290	20110	3255
1291	20124	3239
1292	20141	3224
1293	20156	3208
1294	20169	3192
1295	20185	3177
1296	20203	3162
1297	20218	3146
1298	20235	3131
1299	20251	3115
1300	20269	3100
1301	20285	3084
1302	20300	3069
1303	20315	3053
1304	20332	3038
1305	20347	3022
1306	20361	3006
1307	20375	2990
1308	20390	2975
1309	20406	2959
1310	20423	2944
1311	20439	2928
1312	20456	2913
1313	20647	2922
1314	20684	2909
1315	20701	2894
1316	20720	2879
1317	20735	2863
1318	20751	2847
1319	20766	2831
1320	20782	2816
1321	20797	2800
1322	20810	2784
1323	20828	2768
1324	20843	2752
1325	20859	2737
1326	20875	2721
1327	20891	2705
1328	20907	2690
1329	20924	2674
1330	20940	2658
1331	20957	2643
1332	20971	2627
1333	20983	2611
1334	20996	2595
1335	21011	2579
1336	21029	2563
1337	21046	2548
1338	21063	2532
1339	21078	2516
1340	21093	2501
1341	21109	2485
1342	21126	2469
1343	21143	2454
1344	21159	2438
1345	21177	2422
1346	21195	2407
1347	21211	2391
1348	21227	2376
1349	21244	2360
1350	21259	2344
1351	21275	2328
1352	21290	2313
1353	21306	2297
1354	21322	2281
1355	21338	2265
1356	21355	2250
1357	21371	2234
1358	21388	2219
1359	21405	2203
1360	21421	2187
1361	21435	2171
1362	21452	2156
1363	21468	2140
1364	21486	2125
1365	21503	2109
1366	21520	2093
1367	21535	2078
1368	21552	2062
1369	21568	2046
1370	21582	2030
1371	21598	2015
1372	21615	1999
1373	21631	1983
1374	21648	1968
1375	21663	1952
1376	21679	1936
1377	21693	1920
1378	21707	1904
1379	21723	1889
1380	21737	1873
1381	21751	1857
1382	21765	1841
1383	21779	1825
1384	21794	1809
1385	21812	1794
1386	21827	1778
1387	21842	1762
1388	21856	1746
1389	21871	1730
1390	21887	1715
1391	21903	1699
1392	21918	1683
1393	21934	1667
1394	21952	1652
1395	21969	1636
1396	21986	1621
1397	22002	1605
1398	22018	1589
1399	22034	1573
1400	22051	1558
1401	22067	1542
1402	22082	1526
1403	22097	1510
1404	22112	1495
1405	22128	1479
1406	22148	1464
1407	22162	1448
1408	22180	1432
1409	22198	1416
1410	22213	1401
1411	22230	1385
1412	22245	1369
1413	22263	1354
1414	22283	1338
1415	22315	1323
1416	22334	1308
1417	22353	1292
1418	22371	1277
1419	22387	1261
1420	22404	1245
1421	22420	1229
1422	22433	1213
1423	22450	1198
1424	22467	1182
1425	22482	1166
1426	22501	1151
1427	22519	1135
1428	22535	1119
1429	22554	1104
1430	22572	1088
1431	22589	1072
1432	22606	1056
1433	22622	1041
1434	22638	1025
1435	22654	1009
1436	22674	994
1437	22692	978
1438	22706	962
1439	22722	946
1440	22739	931
1441	22755	915
1442	22771	899
1443	22787	883
1444	22803	867
1445	22818	852
1446	22833	836
1447	22850	820
1448	22866	804
1449	22883	789
1450	22899	773
1451	22924	757
1452	22941	742
1453	22957	726
1454	22972	710
1455	22987	694
1456	23004	678
1457	23020	663
1458	23034	647
1459	23052	631
1460	23068	615
1461	23082	599
1462	23099	584
1463	23115	568
1464	23132	552
1465	23146	536
1466	23164	521
1467	23180	505
1468	23195	489
1469	23212	473
1470	23229	457
1471	23246	442
1472	23260	426
1473	23277	410
1474	23296	394
1475	23312	379
1476	23328	363
1477	23344	347
1478	23361	331
1479	23378	315
1480	23395	300
1481	23409	284
1482	23424	268
1483	23439	252
1484	23455	236
1485	23472	221
1486	23485	205
1487	23500	189
1488	23517	173
1489	23537	157
1490	23555	142
1491	23571	126
1492	23585	110
1493	23596	94
1494	23611	78
1495	23627	63
1496	23644	47
1497	23661	31
1498	23677	15
1499	23694	0
